UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pass %,Pr passes/90,Poss Lost/90,Tck/90,Pr passes/90,Hdrs W/90,Hdr %
90070191,Simeon Maye,"D (C), DM, M (C)",31,,0,425,Balanced,30/6/2026,"2,090",,,0,53,89.0,65.0,63.0,7.83,6.72,0.0,5.81,7.83,1.85,5.81,1.85,65.0
2000141112,Will Armitage,D (C),19,"6'3""",0,575,,30/6/2026,4498,South Shields,Vanarama National League North,1,50,92.0,79.0,77.0,6.04,13.75,0.0,7.54,6.04,0.68,7.54,6.86,79.0
28095453,Liam Edwards,D (C),27,"6'3""",0,525,,30/6/2024,3311,Chester,Vanarama National League North,1,47,87.0,75.0,67.0,8.1,14.81,0.0,5.27,8.1,0.71,5.27,7.37,75.0
2000192695,Keilen Robinson,D (C),18,"6'1""",0,475,,30/6/2025,1080,Chester,Vanarama National League North,1,47,85.0,74.0,69.0,8.89,14.25,0.0,5.0,8.89,0.75,5.0,8.67,74.0
90083933,Morgan Williams,D (RC),24,"6'2""",0,"1,200",,30/6/2026,2220,Yeovil,Vanarama National League South,1,50,83.0,73.0,84.0,8.35,13.09,0.0,5.15,8.35,1.7,5.15,5.15,73.0
2000144013,Zak Johnson,D (C),19,"6'2""",0,"1,200",,30/6/2026,3943,South Shields,Vanarama National League North,1,50,91.0,73.0,83.0,7.24,14.56,0.0,8.08,7.24,0.91,8.08,5.93,73.0
2000058107,Bobby Dailly,D (C),20,"6'0""",0,300,,30/6/2025,1108,Scarborough Athletic,Vanarama National League North,1,50,87.0,68.0,68.0,9.58,15.51,0.0,6.66,9.58,1.38,6.66,6.99,68.0
90076147,Toby Lees,D (C),27,"6'3""",0,400,,30/6/2024,2444,Darlington,Vanarama National League North,1,49,82.0,66.0,75.0,9.64,12.19,0.0,5.01,9.64,1.58,5.01,5.49,66.0
28124739,Cameron Jessup,D (C),21,"6'0""",0,300,,30/6/2024,4406,Darlington,Vanarama National League North,1,49,83.0,63.0,82.0,8.74,11.64,0.0,5.25,8.74,0.94,5.25,4.56,63.0
2000057896,Harrison Burke,D (C),21,"6'2""",0,350,,30/6/2026,4414,Chester,Vanarama National League North,1,47,89.0,61.0,69.0,6.11,12.42,0.0,5.1,6.11,0.88,5.1,5.99,61.0
152985,Michael Bostwick,D (C),36,"6'4""",0,925,,30/6/2024,3465,Boston Utd,Vanarama National League North,1,58,85.0,61.0,81.0,9.4,8.62,0.0,5.01,9.4,1.69,5.01,5.40,61.0
29226255,Josh Owers,"DM, M (C)",22,"6'0""",0,700,,30/6/2025,2377,Yeovil,Vanarama National League South,1,50,90.0,55.0,71.0,5.64,12.0,0.0,5.0,5.64,1.78,5.0,2.20,55.0
28121648,Lucas Defise,"DM, M (C)",22,"5'10""",0,575,,30/6/2024,3843,Eastbourne Borough,Vanarama National League South,1,57,88.0,55.0,74.0,8.74,15.13,0.0,5.5,8.74,1.9,5.5,2.01,55.0
89061743,Elliot Forbes,"D (C), DM, M (C)",25,"6'4""",0,525,,30/6/2025,4337,Blyth,Vanarama National League North,1,64,90.0,55.0,82.0,9.51,9.19,0.0,5.77,9.51,1.51,5.77,2.99,55.0
29240108,Tom Sparrow,"DM, M (C)",21,"5'11""",0,"1,400",,30/6/2026,4059,South Shields,Vanarama National League North,1,50,91.0,54.0,80.0,7.12,7.21,0.0,6.41,7.12,1.0,6.41,1.84,54.0
29210000,Matty Williams,D (C),23,"6'3""",0,350,,30/6/2024,1324,Chester,Vanarama National League North,1,47,87.0,48.0,82.0,7.76,11.76,0.0,5.44,7.76,1.22,5.44,4.15,48.0
29128950,Jordan Richards,"DM, M (C)",26,"5'11""",0,475,,30/6/2024,2875,Boston Utd,Vanarama National League North,1,58,89.0,48.0,76.0,7.68,8.55,0.0,5.1,7.68,1.94,5.1,2.16,48.0
28127070,Hayden Lindley,"DM, M (C)",21,"6'0""",0,850,,30/6/2025,1534,Darlington,Vanarama National League North,1,49,89.0,45.0,69.0,6.62,8.04,0.0,5.75,6.62,1.94,5.75,1.58,45.0
2000137611,Luke Woolston,"DM, M (C)",19,"5'10""",0,"1,200",,30/6/2025,1677,Spennymoor,Vanarama National League North,1,46,86.0,38.0,69.0,7.56,8.16,0.0,5.21,7.56,1.93,5.21,1.29,38.0
29113880,Alex Purver,"DM, M (C)",28,"5'10""",0,675,,30/6/2026,3673,Scarborough Athletic,Vanarama National League North,1,50,87.0,35.0,74.0,7.89,9.92,0.0,5.61,7.89,2.74,5.61,1.74,35.0
28059684,Elliott Whitehouse,M (C),30,"5'11""",0,575,,30/6/2024,1364,Chester,Vanarama National League North,1,47,88.0,29.0,82.0,8.72,8.45,0.0,5.08,8.72,3.1,5.08,1.12,29.0
28094022,Alex Wiles,M (C),27,"5'8""",0,400,,30/6/2025,1347,Scarborough Athletic,Vanarama National League North,1,50,86.0,27.0,67.0,8.49,8.69,0.0,6.15,8.49,2.34,6.15,1.27,27.0
28128052,Nathan Carlyon,DM,22,"5'10""",0,725,,30/6/2028,"2,492",AFC Fylde,Vanarama National League,2,50,88.0,37.0,79.0,4.59,17.44,0.0,4.95,4.59,2.09,4.95,1.52,37.0
29233083,Andres De Gracia,"DM, M (C)",22,"5'11""",0,600,Balanced,30/6/2027,"2,997",Eastbourne Borough,Vanarama National League South,2,50,89.0,64.0,79.0,8.08,12.58,0.0,4.95,8.08,1.77,4.95,2.73,64.0
29160404,Sam Fielding,"D (RC), DM, M (C)",26,"6'2""",0,275,Balanced,30/6/2025,"2,535",Spennymoor,Vanarama National League North,2,44,88.0,57.0,71.0,7.29,9.73,0.0,5.11,7.29,1.85,5.11,2.45,57.0
