UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Gls/90,NP-xG/90,xpG_diff,Sprints/90,Hdr %,Hdrs W/90,Shot/90,Shot %,Offside/90
2000117449,Harry Scarborough,"AM (R), ST (C)",23,"6'3""",725,325,Balanced,30/6/2026,3618,Bury Town,English Isthmian League North Division,0,50,0.0,0.0,63.0,0.45,0.35,0.0,0.52,0.34,0.0,0.30,0.0,0.60,3.31,,
28037033,Adam Blakeman,D/WB (L),32,"5'11""",0,525,,30/6/2024,1557,Chorley,Vanarama National League North,1,59,84.0,71.0,82.0,19.6,11.62,8.21,0.35,0.07,0.040000000000000036,17.86,71.0,3.47,1.68,34%,
85030793,RÃ©my Clerima,D/WB (R),33,"6'2""",0,650,,30/6/2024,1533,Maidenhead,Vanarama National League,1,50,84.0,67.0,73.0,16.32,10.8,5.23,0.35,0.21,0.0,11.74,67.0,5.64,1.53,35%,
29110719,Josh Amis,ST (C),29,"6'1""",0,230,,30/6/2024,1469,Warrington,Vanarama National League North,1,44,83.0,55.0,61.0,6.79,5.82,0.49,0.43,0.42,0.0,5.45,55.0,9.01,3.12,39%,
28048861,Jack Sampson,ST (C),31,"6'2""",0,700,,30/6/2026,3387,Chorley,Vanarama National League North,1,59,86.0,55.0,73.0,6.94,4.25,0.29,0.61,0.54,0.0,6.03,55.0,8.82,4.65,45%,
29172267,Tyler Walton,M/AM (R),25,"6'1""",0,600,,30/6/2025,3792,Southport,Vanarama National League North,1,50,84.0,52.0,80.0,14.1,8.35,2.33,0.31,0.28,0.0,14.07,52.0,4.70,2.42,42%,
29191775,Tommy Hughes,M (C),23,"5'9""",0,700,,30/6/2024,1497,King's Lynn,Vanarama National League North,1,50,82.0,51.0,78.0,11.12,8.84,3.91,0.48,0.15,0.0,9.14,51.0,2.59,1.98,42%,
94047015,Aaron Jarvis,ST (C),26,"6'2""",0,"1,500",,30/6/2026,4321,Torquay,Vanarama National League South,1,52,85.0,50.0,86.0,17.25,3.73,0.77,0.62,0.33,0.0,6.6,50.0,6.64,2.35,60%,
89063403,Gold Omotayo,ST (C),30,"6'4""",0,"1,200",,30/6/2025,2052,Kidderminster,Vanarama National League,1,50,87.0,49.0,67.0,21.62,1.45,0.75,0.39,0.27,0.0,6.45,49.0,6.05,2.85,46%,
2000109168,Emmanuel Ilesanmi,ST (C),19,"6'1""",0,0,,-,3856,Rushall,Vanarama National League North,1,50,83.0,48.0,73.0,6.07,4.27,0.28,0.51,0.37,0.0,5.37,48.0,8.19,2.66,45%,
2000108081,MatÃºÅ¡ HolÃ­Äek,AM (L),19,"6'0""",0,575,,30/6/2025,3649,South Shields,Vanarama National League North,1,50,84.0,45.0,94.0,12.85,6.24,2.84,0.35,0.24,0.010000000000000009,11.64,45.0,3.26,2.27,45%,
2000189964,Michael Adu-Poku,ST (C),18,"6'2""",0,825,,30/6/2025,1054,Welling,Vanarama National League South,1,46,87.0,45.0,85.0,17.87,1.02,0.85,0.51,0.18,0.0,5.72,45.0,4.95,1.62,53%,
29194672,Will Dawes,M/AM (L),23,"6'1""",0,525,,30/6/2024,1093,Yeovil,Vanarama National League South,1,50,84.0,43.0,90.0,18.69,3.95,1.32,0.41,0.23,0.0,12.19,43.0,3.21,2.39,45%,
90024367,Glen Taylor,ST (C),34,"6'3""",0,"1,100",,30/6/2025,4198,Spennymoor,Vanarama National League North,1,46,79.0,40.0,82.0,6.13,4.52,0.24,0.54,0.49,0.04999999999999993,5.87,40.0,6.45,3.39,42%,
5124487,Nicky Deverdics,M (C),36,"6'0""",0,250,,30/6/2025,4388,Blyth,Vanarama National League North,1,64,88.0,40.0,87.0,16.61,5.85,8.88,0.41,0.09,0.0,7.4,40.0,1.09,1.54,48%,
33068775,Scott Beeks,AM (C),24,"6'2""",0,550,,30/6/2025,3854,Blyth,Vanarama National League North,1,64,86.0,39.0,62.0,12.03,4.11,3.18,0.44,0.41,0.0,6.47,39.0,2.45,2.71,37%,
90038888,Mark Jones,ST (C),34,"6'3""",0,350,,30/6/2024,2637,Peterborough Sports,Vanarama National League North,1,47,88.0,39.0,82.0,6.89,5.67,1.16,0.38,0.26,0.0,10.24,39.0,5.63,2.18,56%,
90069328,Dan Creaney,ST (C),29,"6'2""",0,575,,30/6/2025,4326,Tamworth,Vanarama National League North,1,51,85.0,39.0,58.0,6.17,4.54,0.35,0.56,0.49,0.0,5.7,39.0,6.89,2.75,49%,
90043868,Tom Peers,ST (C),28,"5'11""",0,350,,30/6/2025,1054,Chester,Vanarama National League North,1,47,84.0,38.0,75.0,10.4,3.5,0.68,0.34,0.44,0.09999999999999998,4.44,38.0,4.95,2.73,41%,
28004617,Ryan Taylor,ST (C),36,"6'2""",0,575,,30/6/2024,3595,Alfreton,Vanarama National League North,1,51,83.0,38.0,63.0,5.9,3.61,0.55,0.53,0.35,0.0,7.24,38.0,6.01,2.38,46%,
29091260,David Moyo,"AM (L), ST (C)",29,"6'0""",0,350,,30/6/2024,1709,Chorley,Vanarama National League North,1,59,90.0,38.0,77.0,9.06,3.48,1.26,0.42,0.32,0.0,5.9,38.0,4.16,2.05,44%,
29236490,Nahum Melvin-Lambert,ST (C),21,"6'1""",0,700,,30/6/2025,2872,Weymouth,Vanarama National League South,1,50,89.0,36.0,74.0,16.95,1.54,0.44,0.31,0.12,0.0,5.64,36.0,3.73,1.13,56%,
2000146811,Harrison Smith,ST (C),19,"6'0""",0,400,,30/6/2024,3178,Dover,Vanarama National League South,1,49,86.0,36.0,71.0,18.75,2.38,0.96,0.4,0.27,0.0,4.98,36.0,4.22,1.84,49%,
29058039,Darren Stephenson,ST (C),31,"6'0""",0,400,,30/6/2024,4124,Farsley,Vanarama National League North,1,46,85.0,36.0,73.0,8.79,6.22,1.51,0.33,0.29,0.0,7.94,36.0,4.52,2.90,40%,
2000101289,Daniel Ogwuru,ST (C),19,"6'0""",0,"2,300",,30/6/2026,2686,Chelmsford,Vanarama National League South,1,56,90.0,35.0,71.0,15.05,3.12,0.74,0.34,0.36,0.019999999999999962,6.43,35.0,4.12,2.68,39%,
2000144689,Ben Beresford,ST (C),19,"6'2""",0,475,,30/6/2025,1094,Braintree,Vanarama National League South,1,50,84.0,35.0,68.0,18.51,2.14,0.66,0.33,0.17,0.0,6.42,35.0,4.11,2.39,55%,
29240039,Siyabonga Ligendza,ST (C),21,"5'10""",0,575,,30/6/2024,2360,Eastbourne Borough,Vanarama National League South,1,57,87.0,34.0,80.0,22.52,1.26,0.61,0.46,0.4,0.0,6.22,34.0,4.04,3.97,44%,
89022338,Cody Cooke,ST (C),31,"6'1""",0,575,,30/6/2026,2611,Bath City,Vanarama National League South,1,50,91.0,34.0,71.0,16.55,2.17,1.03,0.38,0.25,0.0,5.55,34.0,3.93,1.90,53%,
29219102,Ken Charles,ST (C),23,"6'0""",0,230,,30/6/2024,3858,Banbury,Vanarama National League North,1,44,84.0,33.0,80.0,8.21,4.55,0.42,0.44,0.43,0.08000000000000002,5.53,33.0,5.06,3.10,40%,
29237705,Caleb Chukwuemeka,ST (C),22,"6'3""",0,925,,30/6/2024,3577,King's Lynn,Vanarama National League North,1,50,85.0,32.0,78.0,6.89,4.63,0.65,0.7,0.38,0.0,3.52,32.0,4.55,2.69,48%,
28115924,Christian Norton,ST (C),23,"5'10""",0,475,,30/6/2024,4052,Chester,Vanarama National League North,1,47,89.0,32.0,83.0,8.13,5.93,1.22,0.51,0.42,0.0,6.86,32.0,3.89,2.78,46%,
29243569,Harry Parsons,ST (C),21,"6'2""",0,0,,-,1150,Aveley,Vanarama National League South,1,44,84.0,32.0,83.0,17.19,1.41,0.55,0.31,0.09,0.0,6.18,32.0,3.91,1.02,54%,
29218009,Jimmy Knowles,ST (C),23,"6'0""",0,775,,30/6/2025,3622,Boston Utd,Vanarama National League North,1,58,88.0,31.0,75.0,9.38,5.02,1.81,0.57,0.48,0.010000000000000009,8.55,31.0,3.75,3.13,50%,
2000053517,Harrison Wood,AM (LC),19,"6'0""",0,"1,000",,30/6/2025,2847,Brackley,Vanarama National League North,1,45,87.0,31.0,80.0,8.14,6.26,2.15,0.32,0.24,0.0,10.02,31.0,2.56,2.12,39%,
2000033300,Connor Evans,ST (C),20,"6'0""",0,450,,30/6/2025,3476,Warrington,Vanarama National League North,1,44,84.0,31.0,75.0,7.45,5.51,0.67,0.36,0.34,0.0,7.2,31.0,4.27,1.89,40%,
29031132,Jimmy Spencer,ST (C),32,"6'1""",0,450,,30/6/2025,4413,Curzon Ashton,Vanarama National League North,1,46,85.0,31.0,72.0,4.81,3.81,0.63,0.51,0.33,0.0,6.46,31.0,4.49,1.77,55%,
28127279,Ramello Mitchell,AM (RL),21,"5'10""",0,750,,30/6/2024,4392,Buxton,Vanarama National League North,1,48,85.0,30.0,85.0,11.57,7.11,1.97,0.39,0.29,0.0,9.9,30.0,3.09,2.42,43%,
28018322,Frank Nouble,"AM (L), ST (C)",32,"6'3""",0,"1,200",,30/6/2024,2918,Yeovil,Vanarama National League South,1,50,88.0,30.0,78.0,19.37,1.79,0.49,0.37,0.2,0.0,4.97,30.0,3.64,2.34,43%,
29107362,Danny Whitehall,ST (C),28,"6'3""",0,"1,400",,30/6/2025,2988,Scunthorpe,Vanarama National League North,1,64,86.0,30.0,71.0,8.53,3.86,0.48,0.69,0.45,0.0,4.64,30.0,4.07,3.46,48%,
29080291,Tyler Harvey,"AM (C), ST (C)",28,"6'0""",0,325,,30/6/2025,3795,Truro,Vanarama National League South,1,48,85.0,30.0,77.0,17.38,12.57,1.83,0.31,0.22,0.0,7.97,30.0,2.61,1.68,35%,
29156938,Luca Colville,AM (R),25,"6'1""",0,575,,30/6/2024,4307,Scarborough Athletic,Vanarama National League North,1,50,85.0,29.0,78.0,13.44,8.15,2.78,0.46,0.3,0.0,15.02,29.0,2.44,2.28,50%,
2000042607,Jacob Hamilton,ST (C),19,"6'1""",0,350,,30/6/2025,2018,Torquay,Vanarama National League South,1,52,86.0,27.0,73.0,18.53,0.94,0.94,0.36,0.52,0.16000000000000003,4.86,27.0,3.12,3.48,45%,
15070024,Michael Cunningham,ST (C),33,"6'0""",0,500,,30/6/2024,1831,Peterborough Sports,Vanarama National League North,1,47,87.0,27.0,79.0,6.63,4.47,0.79,0.39,0.36,0.0,8.06,27.0,4.28,1.82,54%,
28067664,JJ Hooper,ST (C),30,"6'1""",0,650,,30/6/2025,4817,Blyth,Vanarama National League North,1,64,90.0,27.0,76.0,9.21,3.1,0.65,0.52,0.44,0.0,3.4,27.0,2.11,2.22,48%,
29103880,Danny Elliott,ST (C),28,"6'0""",0,675,,30/6/2025,1564,Scunthorpe,Vanarama National League North,1,64,86.0,26.0,87.0,14.15,5.81,1.67,0.63,0.38,0.020000000000000018,6.73,26.0,2.76,2.82,45%,
29236679,Charlie Caton,ST (C),21,"5'9""",0,575,,30/6/2025,3813,Chester,Vanarama National League North,1,47,88.0,26.0,83.0,6.24,5.0,0.97,0.45,0.38,0.0,7.1,26.0,3.85,2.67,50%,
89047064,Ollie Pearce,ST (C),28,"5'6""",0,700,,30/6/2026,3874,Worthing,Vanarama National League South,1,50,85.0,25.0,67.0,14.24,2.46,1.16,0.58,0.28,0.0,5.34,25.0,2.83,2.39,53%,
29226256,Sam Pearson,M/AM (L),22,"5'11""",0,875,,30/6/2025,2115,Yeovil,Vanarama National League South,1,50,86.0,24.0,90.0,16.38,4.68,2.17,0.34,0.16,0.0,10.64,24.0,1.49,1.66,41%,
33083658,Tope Fadahunsi,ST (C),24,"5'11""",0,575,,30/6/2024,1682,Torquay,Vanarama National League South,1,52,88.0,24.0,75.0,19.06,1.71,0.7,0.32,0.32,0.0,5.94,24.0,2.46,2.68,42%,
2005767,Adam Rooney,ST (C),36,"5'10""",0,575,,30/6/2024,2281,Hereford,Vanarama National League North,1,50,86.0,24.0,86.0,5.33,3.12,0.43,0.55,0.31,0.0,6.12,24.0,3.24,2.05,50%,
29191982,Lewis Collins,AM (R),23,"5'10""",0,"1,100",,30/6/2027,2087,Torquay,Vanarama National League South,1,52,86.0,24.0,83.0,12.94,4.44,2.46,0.43,0.24,0.0,9.92,24.0,2.07,1.98,46%,
2000163966,Reuben Marshall,ST (C),18,"5'8""",0,325,,30/6/2024,1951,Farsley,Vanarama National League North,1,46,86.0,22.0,76.0,7.69,5.12,0.92,0.51,0.27,0.0,7.84,22.0,2.77,1.85,50%,
29007514,Sam Osborne,M/AM (RL),25,"5'10""",0,525,,30/6/2024,1117,Buxton,Vanarama National League North,1,48,87.0,22.0,88.0,10.38,6.28,0.81,0.4,0.27,0.0,12.97,22.0,2.34,1.85,61%,
28127320,Tarrelle Whittaker,"AM (R), ST (C)",21,"5'7""",0,600,,30/6/2025,3129,Hemel Hempstead,Vanarama National League South,1,46,87.0,22.0,78.0,14.19,4.2,1.81,0.37,0.19,0.0,8.37,22.0,1.84,2.10,47%,
94051916,Jason Cowley,ST (C),28,"5'9""",0,575,,30/6/2025,2230,Hereford,Vanarama National League North,1,50,86.0,21.0,69.0,6.05,3.39,0.65,0.48,0.34,0.0,7.83,21.0,2.74,2.26,50%,
2000139200,Aaron Blair,ST (C),24,"5'11""",0,450,,30/6/2025,3668,Braintree,Vanarama National League South,1,50,87.0,20.0,78.0,22.6,2.11,0.52,0.42,0.25,0.0,5.94,20.0,2.21,2.23,57%,
29191699,Jordan Stevens,M/AM (R),24,"5'10""",0,"1,300",,30/6/2026,2683,Yeovil,Vanarama National League South,1,50,87.0,19.0,79.0,19.52,4.6,2.48,0.37,0.27,0.0,9.43,19.0,1.21,2.01,40%,
28105524,Jack Clarke,AM (C),25,"6'0""",0,675,,30/6/2024,1857,Eastbourne Borough,Vanarama National League South,1,57,85.0,19.0,92.0,22.03,10.08,1.94,0.39,0.18,0.0,9.84,19.0,1.41,1.55,41%,
29177672,Jordan Ponticelli,ST (C),25,"5'11""",0,825,,30/6/2024,1938,King's Lynn,Vanarama National League North,1,50,86.0,19.0,70.0,5.57,5.06,0.51,0.37,0.2,0.0,6.92,19.0,2.55,1.44,45%,
29162659,Mitchell Curry,ST (C),24,"5'10""",0,625,,30/6/2025,3727,Darlington,Vanarama National League North,1,49,89.0,18.0,77.0,7.88,5.05,0.82,0.43,0.24,0.0,6.74,18.0,1.71,1.52,48%,
2000106512,Bogdan Marian,"AM (R), ST (C)",19,"5'11""",0,300,,30/6/2024,3895,Dover,Vanarama National League South,1,49,85.0,18.0,71.0,18.39,1.92,0.65,0.37,0.21,0.0,4.81,18.0,1.99,1.89,48%,
29146562,Ogo Obi,ST (C),26,"5'10""",0,825,,30/6/2024,1441,Maidstone,Vanarama National League South,1,50,86.0,18.0,72.0,22.05,1.44,0.94,0.37,0.22,0.0,5.43,18.0,1.75,2.19,60%,
29218026,Harry Green,AM (L),22,"5'10""",0,600,,30/6/2025,4042,Scarborough Athletic,Vanarama National League North,1,50,87.0,18.0,73.0,13.54,8.77,2.0,0.31,0.25,0.0,12.65,18.0,1.36,1.87,48%,
29156567,Josh McCammon,AM (C),24,"6'0""",0,400,,30/6/2024,4434,Peterborough Sports,Vanarama National League North,1,47,85.0,17.0,79.0,7.35,5.58,2.15,0.35,0.27,0.0,7.9,17.0,1.32,1.85,41%,
2000140661,Hakeem Sandah,AM (RLC),19,"5'7""",0,475,,30/6/2025,3666,Boston Utd,Vanarama National League North,1,58,84.0,16.0,72.0,8.74,5.03,2.82,0.34,0.33,0.0,12.79,16.0,1.23,1.77,43%,
28127532,Sonny Lo-Everton,M/AM (C),21,"5'7""",0,650,,30/6/2025,2534,Yeovil,Vanarama National League South,1,50,86.0,15.0,85.0,15.09,11.01,3.02,0.39,0.23,0.0,9.73,15.0,0.85,1.49,55%,
2000147443,Gabriel Overton,ST (C),19,"5'10""",0,475,,30/6/2025,2752,Peterborough Sports,Vanarama National League North,1,47,87.0,15.0,74.0,7.92,5.62,1.28,0.72,0.49,0.0,8.96,15.0,1.96,2.49,55%,
28101029,Decarrey Sheriff,ST (C),26,"5'10""",0,575,,30/6/2024,1606,Eastbourne Borough,Vanarama National League South,1,57,86.0,12.0,71.0,23.92,1.85,0.9,0.45,0.31,0.0,7.73,12.0,1.18,2.13,39%,
90091794,Paul Blackett,ST (C),26,"5'7""",0,"1,200",,30/6/2025,3194,South Shields,Vanarama National League North,1,50,90.0,11.0,80.0,6.06,3.21,0.65,0.65,0.54,0.0,5.3,11.0,1.16,2.48,45%,
29107386,Diego De Girolamo,ST (C),28,"5'10""",0,"1,200",,30/6/2024,4584,Buxton,Vanarama National League North,1,48,87.0,11.0,74.0,6.29,3.97,0.67,0.59,0.41,0.0,5.73,11.0,1.47,2.18,50%,
2000124647,Josiah Dyer,ST (C),19,"5'11""",0,"1,000",,30/6/2025,2198,Warrington,Vanarama National League North,1,44,89.0,11.0,68.0,6.29,3.23,0.78,0.61,0.29,0.0,5.45,11.0,1.43,1.88,70%,
28091360,Cal Roberts,M/AM (R),27,"5'8""",0,"1,400",,30/6/2025,2174,Scunthorpe,Vanarama National League North,1,64,86.0,8.0,78.0,20.82,6.13,3.15,0.37,0.28,0.0,10.56,8.0,0.46,2.24,44%,
29156096,Stefan Mols,"M (RLC), AM (RC), ST (C)",26,"5'11""",0,"2,600",Professional,30/6/2027,"2,090",Ejea,Spanish Federation Third Group 17,2,50,60.0,0,72.0,0.0,0.00,0.0,0.34,0.19,0.0,0.00,0,-,2.41,41%,
2000117446,Harrison Poulter,ST (C),20,"5'10""",0,550,Determined,30/6/2026,"1,288",Scunthorpe,Vanarama National League North,2,50,88.0,18.0,57.0,6.29,2.52,1.12,0.7,0.26,0.0,3.77,18.0,1.96,1.96,54%,
90094865,Sam Hodgson,ST (C),23,"5'10""",0,750,Balanced,30/6/2026,"2,604",Guiseley,English Northern Premier League Premier Division,2,50,62.0,11.0,58.0,0.17,0.41,0.07,0.41,0.54,0.13000000000000006,0.48,11.0,0.17,3.77,50%,
2000117449,Harry Scarborough,"AM (R), ST (C)",22,"6'3""",0,325,Balanced,30/6/2026,"1,165",Boston Utd,Vanarama National League North,2,50,85.0,67.0,75.0,10.12,4.94,1.16,0.62,0.42,0.0,4.09,67.0,7.18,3.40,52%,
28127125,Will Russ,ST (C),22,"6'2""",0,300,Balanced,31/5/2026,"4,007",Southport,Vanarama National League North,2,46,81.0,45.0,72.0,5.82,4.72,0.2,0.76,0.48,0.0,5.53,45.0,7.73,3.30,48%,
2000026491,Aaron Korpal,AM (RL),20,"5'9""",0,525,,30/6/2025,"4,240",Buxton,Vanarama National League North,2,51,85.0,37.0,74.0,10.7,7.64,2.19,0.42,0.32,0.0,10.15,37.0,3.65,2.55,41%,
29233082,Eno Nto,"AM (RL), ST (C)",22,"5'11""",0,500,,30/6/2025,"1,707",Buxton,Vanarama National League North,2,51,80.0,52.0,94.0,14.09,8.01,1.37,0.69,0.34,0.0,7.49,52.0,5.54,3.22,46%,
94051916,Jason Cowley,ST (C),29,"5'9""",0,575,,30/6/2025,"3,504",Hereford,English Southern League Premier Central,2,41,88.0,17.0,64.0,14.28,2.88,0.8,0.36,0.24,0.0,5.75,17.0,1.88,2.11,41%,
2000183394,Liam Jones,"D (L), AM (LC), ST (C)",19,"5'9""",0,275,Balanced,30/6/2025,"2,778",Peterborough Sports,Vanarama National League North,2,52,86.0,13.0,80.0,7.59,4.96,2.17,0.42,0.38,0.0,5.99,13.0,1.13,2.01,47%,
29156806,Liam Waldock,"DM, M/AM (C)",24,"5'10""",0,325,Balanced,30/6/2025,"1,733",Alfreton,Vanarama National League North,2,50,87.0,12.0,59.0,11.22,5.40,1.66,0.31,0.22,0.0,11.48,12.0,0.93,2.29,43%,
29219102,Ken Charles,"AM (RL), ST (C)",24,"6'0""",0,375,Balanced,30/6/2025,"4,252",Banbury,Vanarama National League North,2,50,84.0,38.0,84.0,10.31,4.51,1.04,0.4,0.45,0.06999999999999995,6.18,38.0,5.61,2.77,41%,
2000141362,Terrell Works,"AM (RLC), ST (C)",20,"6'1""",0,250,Resolute,30/6/2025,"3,070",Oxford City,Vanarama National League North,2,46,87.0,19.0,74.0,6.76,5.10,2.2,0.35,0.21,0.0,9.91,19.0,1.58,1.41,52%,
29233758,Billy Fewster,M/AM (RLC),21,"5'10""",0,475,Balanced,30/6/2025,"3,266",Alfreton,Vanarama National League North,2,50,84.0,48.0,85.0,13.81,7.33,2.67,0.36,0.26,0.0,10.86,48.0,3.61,2.18,39%,
29162659,Mitchell Curry,"AM (RL), ST (C)",25,"5'10""",0,625,Balanced,30/6/2025,"3,833",Darlington,Vanarama National League North,2,48,87.0,22.0,71.0,8.02,5.71,1.46,0.54,0.42,0.0,6.81,22.0,2.49,2.25,49%,
28121761,Rhys Fenlon,"M (RL), AM (RLC), ST (C)",23,"5'8""",0,0,Balanced,-,"3,761",Stourbridge,English Southern League Premier Central,2,50,59.0,26.0,88.0,1.05,0.45,0.12,0.36,0.21,0.0,0.79,26.0,0.24,2.32,46%,
