UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Hdr %,Hdrs  W/90,Tck R,Hdr %,Hdrs W/90,Int/90,Tck R,Tck/90,Blk/90,Poss Won/90,Pas %Poss Lost/90
28124744,Cardo Siddik,D (C),21,"6'3""",400,575,,30/6/2025,2101,Darlington,Vanarama National League North,1,49,85%,81.0,75.0,9.0,15.68,4.58,81.0,0.0,75.0,81.0,8.44,1.84,75.0,1.29,0.64,15.68,
29223278,Kieran Coates,D/WB (R),22,"5'10""",850,300,,30/6/2024,3908,Chester,Vanarama National League North,1,47,81%,59.0,74.0,19.97,14.95,5.62,59.0,0.0,74.0,59.0,4.38,2.86,74.0,3.11,0.53,14.95,
90049334,Will Thornton,D (C),26,"6'3""",525,350,,30/6/2024,4327,Scarborough Athletic,Vanarama National League North,1,50,78%,72.0,76.0,11.88,12.17,4.45,72.0,0.0,76.0,72.0,7.61,0.73,76.0,0.98,0.35,12.17,
29139894,Connor Johnson,D (C),26,"6'1""",650,750,,30/6/2024,4119,Peterborough Sports,Vanarama National League North,1,47,80%,71.0,71.0,9.02,12.83,3.39,71.0,0.0,71.0,71.0,7.19,1.18,71.0,0.7,0.33,12.83,
29240127,Jack Davies,D (LC),21,"6'2""",0,180,,30/6/2024,1761,Banbury,Vanarama National League North,1,44,79%,78.0,85.0,12.73,14.62,3.63,78.0,0.0,85.0,78.0,8.69,1.99,85.0,1.18,0.97,14.62,
31034672,Kyran Clements,D (C),27,"6'1""",550,350,,30/6/2024,4117,Gloucester,Vanarama National League North,1,47,84%,83.0,84.0,9.2,14.14,3.45,83.0,0.0,84.0,83.0,7.65,1.79,84.0,0.94,0.48,14.14,
28118015,Harry Flowers,D (C),28,"6'5""",0,350,,30/6/2024,2789,Southport,Vanarama National League North,1,50,77%,79.0,83.0,10.84,15.49,2.9,79.0,0.0,83.0,79.0,8.75,1.23,83.0,0.77,0.52,15.49,
122112,Peter Clarke,D (C),42,"6'2""",350,575,,30/6/2024,4257,Warrington,Vanarama National League North,1,44,73%,74.0,76.0,11.01,12.09,3.97,74.0,0.0,76.0,74.0,7.10,1.08,76.0,0.95,0.36,12.09,
28062670,George Waring,"D (C), ST (C)",29,"6'5""",0,230,,30/6/2024,2116,Curzon Ashton,Vanarama National League North,1,46,76%,76.0,73.0,11.14,12.33,2.68,76.0,0.0,73.0,76.0,8.29,1.45,73.0,1.02,0.51,12.33,
28068604,Rudy Misambo,D (C),30,"6'4""",0,230,,30/6/2024,3980,Farsley,Vanarama National League North,1,46,76%,82.0,83.0,11.24,15.08,3.32,82.0,0.0,83.0,82.0,8.32,1.24,83.0,0.97,0.54,15.08,
90070191,Simeon Maye,"DM, M (C)",29,"5'10""",0,230,,30/6/2024,2990,Banbury,Vanarama National League North,1,44,87%,59.0,78.0,5.3,7.56,2.38,59.0,0.0,78.0,59.0,3.64,0.96,78.0,1.41,0.39,7.56,
28100548,Kyle Howkins,D (C),28,"6'5""",0,475,,30/6/2024,3976,Hereford,Vanarama National League North,1,50,82%,82.0,74.0,8.62,13.11,2.9,82.0,0.0,74.0,82.0,8.65,1.20,74.0,1.09,0.75,13.11,
29194271,Tom Leak,D (C),23,"6'2""",0,400,,30/6/2024,4106,Boston Utd,Vanarama National League North,1,58,87%,80.0,79.0,8.53,15.26,5.37,80.0,0.0,79.0,80.0,8.57,2.02,79.0,0.75,0.50,15.26,
2000219406,Ashton Fox,D (C),21,"6'0""",0,575,,30/6/2024,4295,Peterborough Sports,Vanarama National League North,1,47,82%,80.0,75.0,9.64,14.71,3.9,80.0,0.0,75.0,80.0,8.53,1.78,75.0,0.75,0.48,14.71,
29158250,Harvey Smith,D (C),25,"6'0""",0,400,,30/6/2024,3362,Chorley,Vanarama National League North,1,59,84%,80.0,80.0,9.69,13.06,5.09,80.0,0.0,80.0,80.0,7.82,1.23,80.0,1.26,0.56,13.06,
29176525,Max Hunt,D (C),25,"6'6""",0,400,,30/6/2024,4307,Buxton,Vanarama National League North,1,48,83%,80.0,83.0,8.09,14.21,4.28,80.0,0.0,83.0,80.0,8.59,0.88,83.0,0.94,0.42,14.21,
61064263,Michael Kelly,D (L),26,"5'11""",0,"1,200",,30/6/2025,2016,Scunthorpe,Vanarama National League North,1,64,84%,80.0,72.0,11.47,15.85,7.54,80.0,0.0,72.0,80.0,5.94,2.05,72.0,2.41,0.67,15.85,
222823,Tai Fleming,D (C),22,"6'3""",0,240,,30/6/2025,4033,Banbury,Vanarama National League North,1,44,83%,79.0,90.0,9.39,15.31,3.06,79.0,0.0,90.0,79.0,9.95,1.21,90.0,0.98,0.51,15.31,
2000141112,Will Armitage,D (C),19,"6'3""",0,575,,30/6/2026,4498,South Shields,Vanarama National League North,1,50,92%,79.0,77.0,6.04,13.75,7.54,79.0,0.0,77.0,79.0,6.86,1.58,77.0,0.68,0.38,13.75,
28093200,Keenan Quansah,"D (RC), WB (R), DM",27,"6'4""",0,350,,30/6/2024,3388,Southport,Vanarama National League North,1,50,83%,79.0,76.0,10.07,14.03,3.83,79.0,0.0,76.0,79.0,6.35,1.70,76.0,2.15,0.37,14.03,
2000056887,Seydil TourÃ©,D (C),20,"6'2""",0,475,,30/6/2025,3759,Braintree,Vanarama National League South,1,50,85%,78.0,82.0,4.96,13.07,3.83,78.0,0.0,82.0,78.0,6.70,1.36,82.0,1.17,0.34,13.07,
28124743,Dan Quick,D (C),21,"6'2""",0,525,,30/6/2024,2583,Eastbourne Borough,Vanarama National League South,1,57,85%,78.0,88.0,4.01,13.1,4.08,78.0,0.0,88.0,78.0,6.38,1.57,88.0,1.05,0.45,13.1,
57149460,Moses Makinde,D (L),31,"6'1""",0,600,,30/6/2025,1727,South Shields,Vanarama National League North,1,50,85%,77.0,77.0,12.92,15.43,9.07,77.0,0.0,77.0,77.0,5.84,2.29,77.0,1.93,0.73,15.43,
29023464,Aarran Racine,D (C),32,"6'2""",0,300,,30/6/2025,2570,Tonbridge,Vanarama National League South,1,48,86%,77.0,81.0,4.1,14.78,4.38,77.0,0.0,81.0,77.0,6.37,1.37,81.0,0.91,0.49,14.78,
29161623,Adam Lund,DM,25,"5'11""",0,180,,30/6/2025,3709,Alfreton,Vanarama National League North,1,51,83%,77.0,77.0,11.31,10.51,4.0,77.0,0.0,77.0,77.0,5.12,1.14,77.0,2.26,0.39,10.51,
90057700,Jamie Willets,D (C),31,"6'3""",0,180,,30/6/2024,4501,Tamworth,Vanarama National League North,1,51,80%,77.0,70.0,10.68,13.96,4.56,77.0,0.0,70.0,77.0,7.08,1.32,70.0,0.7,0.42,13.96,
29233180,Brooklyn Kabongolo,D (C),21,"6'4""",0,450,,30/6/2024,1024,Maidstone,Vanarama National League South,1,50,81%,77.0,100.0,5.54,11.69,2.46,77.0,0.0,100.0,77.0,7.29,1.85,100.0,0.44,1.14,11.69,
28028403,Conor Branson,"DM, M (C)",32,"6'2""",0,300,,30/6/2024,2947,Farsley,Vanarama National League North,1,46,85%,77.0,71.0,8.7,11.27,4.83,77.0,0.0,71.0,77.0,5.13,1.37,71.0,1.92,0.61,11.27,
2000022079,Ethan Sutcliffe,D (C),20,"6'1""",0,375,,30/6/2025,1165,Scunthorpe,Vanarama National League North,1,64,90%,77.0,75.0,7.18,13.91,4.48,77.0,0.0,75.0,77.0,7.88,1.70,75.0,0.46,0.15,13.91,
29235898,Ronny Nelson,D (C),20,"6'5""",0,575,,30/6/2025,3727,Worthing,Vanarama National League South,1,50,86%,77.0,84.0,4.73,11.33,3.84,77.0,0.0,84.0,77.0,6.59,1.38,84.0,1.18,0.51,11.33,
28049315,Zaine Francis-Angol,D/WB (L),30,"5'8""",0,475,,30/6/2024,3085,Buxton,Vanarama National League North,1,48,84%,77.0,83.0,11.49,14.0,7.32,77.0,0.0,83.0,77.0,4.29,2.19,83.0,2.28,0.50,14.0,
2000273981,Emmanuel Harvest,DM,19,"6'4""",0,425,,30/6/2025,3265,Bishop's Stortford,Vanarama National League North,1,50,85%,77.0,69.0,8.77,9.26,3.42,77.0,0.0,69.0,77.0,5.84,0.91,69.0,1.82,0.30,9.26,
29127855,Isaac Assenso,D (C),27,"6'3""",0,230,,30/6/2024,2273,Farsley,Vanarama National League North,1,46,76%,76.0,76.0,11.28,13.07,4.08,76.0,0.0,76.0,76.0,7.17,1.39,76.0,1.15,0.48,13.07,
29146151,Maxim Kouogun,D (C),27,"6'3""",0,875,,30/6/2025,2941,Scunthorpe,Vanarama National League North,1,64,85%,76.0,68.0,9.61,16.04,4.28,76.0,0.0,68.0,76.0,7.80,1.84,68.0,0.92,0.43,16.04,
29038155,Blaine Hudson,D (C),32,"6'5""",0,300,,30/6/2025,2330,Chelmsford,Vanarama National League South,1,56,79%,76.0,75.0,5.25,19.58,4.4,76.0,0.0,75.0,76.0,6.72,1.43,75.0,0.81,0.42,19.58,
52070952,Gary Boylan,"D (R), M (C)",28,"6'0""",0,450,,30/6/2025,2116,Weston-super-Mare,Vanarama National League South,1,50,84%,76.0,78.0,13.14,13.65,4.68,76.0,0.0,78.0,76.0,5.49,1.83,78.0,1.62,0.43,13.65,
29219122,Jalil Saadi,D (C),22,"6'3""",0,875,,30/6/2024,3474,Yeovil,Vanarama National League South,1,50,83%,76.0,78.0,3.16,14.97,3.89,76.0,0.0,78.0,76.0,5.85,1.53,78.0,0.98,0.44,14.97,
2000211483,Aaron Harper-Bailey,D (C),22,"6'3""",0,475,,30/6/2024,3847,Gloucester,Vanarama National League North,1,47,85%,76.0,76.0,7.81,14.74,3.09,76.0,0.0,76.0,76.0,6.90,1.40,76.0,1.05,0.51,14.74,
2000192553,Charlie Stallard,D (C),20,"6'2""",0,525,,30/6/2024,3312,Hemel Hempstead,Vanarama National League South,1,46,87%,75.0,82.0,3.91,17.74,3.67,75.0,0.0,82.0,75.0,6.39,1.30,82.0,1.09,0.30,17.74,
28095453,Liam Edwards,D (C),27,"6'3""",0,525,,30/6/2024,3311,Chester,Vanarama National League North,1,47,87%,75.0,67.0,8.59,14.81,5.27,75.0,0.0,67.0,75.0,7.37,2.09,67.0,0.71,0.46,14.81,
2000108352,Charlie Hayes-Green,D (C),19,"6'0""",0,575,,30/6/2025,1260,Peterborough Sports,Vanarama National League North,1,47,85%,75.0,91.0,10.71,15.21,4.71,75.0,0.0,91.0,75.0,6.29,2.00,91.0,1.43,0.29,15.21,
29111157,Alex Finney,D (C),27,"6'4""",0,800,,30/6/2024,4335,Eastbourne Borough,Vanarama National League South,1,57,82%,75.0,74.0,4.94,16.46,3.61,75.0,0.0,74.0,75.0,6.66,1.27,74.0,1.08,0.27,16.46,
29128545,Kyron Farrell,D (L),26,"5'11""",0,250,,30/6/2024,3999,Tamworth,Vanarama National League North,1,51,81%,75.0,82.0,13.68,15.71,7.29,75.0,0.0,82.0,75.0,5.09,2.23,82.0,2.14,0.70,15.71,
2000120904,George Milner-Smith,D (C),20,"6'4""",0,300,,30/6/2025,1440,Dartford,Vanarama National League South,1,51,86%,75.0,87.0,3.5,13.94,3.81,75.0,0.0,87.0,75.0,6.38,1.12,87.0,0.81,0.75,13.94,
29132088,Adam Anson,D (C),27,"6'0""",0,475,,30/6/2024,4559,Southport,Vanarama National League North,1,50,80%,75.0,71.0,8.84,11.73,3.16,75.0,0.0,71.0,75.0,6.14,1.01,71.0,0.71,0.32,11.73,
28094135,Evan Gumbs,D (C),26,"5'10""",0,180,,30/6/2024,3750,Warrington,Vanarama National League North,1,44,80%,75.0,82.0,10.13,13.63,4.27,75.0,0.0,82.0,75.0,6.17,1.39,82.0,1.54,0.60,13.63,
29023545,Shaun Brisley,D (C),34,"6'4""",0,350,,30/6/2024,3924,Alfreton,Vanarama National League North,1,51,81%,75.0,68.0,8.3,12.18,3.0,75.0,0.0,68.0,75.0,7.36,1.03,68.0,0.69,0.41,12.18,
31042036,Baris Altintop,D (RC),23,"6'2""",0,475,,30/6/2025,4353,Braintree,Vanarama National League South,1,50,87%,75.0,76.0,4.84,18.53,3.58,75.0,0.0,76.0,75.0,5.71,1.34,76.0,1.08,0.41,18.53,
2000255196,Jet Dyer,D (LC),19,"6'4""",0,350,,30/6/2025,2224,Aveley,Vanarama National League South,1,44,87%,75.0,81.0,8.54,13.15,4.45,75.0,0.0,81.0,75.0,6.07,1.17,81.0,1.7,0.45,13.15,
29159369,Jordon Thompson,D (C),25,"6'2""",0,0,,-,2971,Weymouth,Vanarama National League South,1,50,83%,74.0,69.0,5.15,12.42,3.39,74.0,0.0,69.0,74.0,6.54,1.70,69.0,0.82,0.51,12.42,
5113683,Connell Rawlinson,D (C),32,"6'3""",0,925,,30/6/2025,2760,Yeovil,Vanarama National League South,1,50,80%,74.0,83.0,2.61,16.3,4.14,74.0,0.0,83.0,74.0,6.33,1.21,83.0,1.08,0.42,16.3,
89024046,Jordaan Brown,D (C),32,"6'2""",0,120,,30/6/2024,4145,Rushall,Vanarama National League North,1,50,79%,74.0,79.0,10.9,13.85,3.69,74.0,0.0,79.0,74.0,7.93,1.17,79.0,0.98,0.76,13.85,
31035171,Jacob Mensah,D (C),23,"6'0""",0,350,,-,4214,Dover,Vanarama National League South,1,49,81%,74.0,78.0,4.83,16.19,3.97,74.0,0.0,78.0,74.0,6.49,1.41,78.0,1.15,0.45,16.19,
2000239586,Finlay Heath,DM,20,"6'1""",0,120,,30/6/2024,3877,Southport,Vanarama National League North,1,50,84%,74.0,77.0,8.47,9.73,3.06,74.0,0.0,77.0,74.0,5.04,1.49,77.0,2.09,0.44,9.73,
29128162,Bailey Gooda,D (C),27,"5'9""",0,475,,30/6/2025,4539,Scarborough Athletic,Vanarama National League North,1,50,87%,74.0,70.0,7.38,13.38,4.7,74.0,0.0,70.0,74.0,5.83,2.04,70.0,1.03,0.50,13.38,
2000053510,Jay Haddow,D/WB (R),20,"6'1""",0,575,,30/6/2025,2731,Southport,Vanarama National League North,1,50,79%,74.0,77.0,13.87,14.47,3.43,74.0,0.0,77.0,74.0,6.13,2.37,77.0,2.47,0.73,14.47,
2000192695,Keilen Robinson,D (C),18,"6'1""",0,475,,30/6/2025,1080,Chester,Vanarama National League North,1,47,85%,74.0,69.0,9.42,14.25,5.0,74.0,0.0,69.0,74.0,8.67,2.00,69.0,0.75,0.58,14.25,
2000187733,Fuad Adeniyi,D (C),29,"6'0""",0,525,,30/6/2025,1668,Weymouth,Vanarama National League South,1,50,81%,74.0,76.0,3.94,12.63,4.21,74.0,0.0,76.0,74.0,5.45,0.81,76.0,1.19,0.38,12.63,
29072743,Zak Mills,D/WB (R),32,"6'0""",0,475,,30/6/2024,3732,Boston Utd,Vanarama National League North,1,58,82%,74.0,78.0,20.57,14.61,5.88,74.0,0.0,78.0,74.0,5.88,3.01,78.0,1.74,1.04,14.61,
2000106511,George Abbott,D (C),19,"6'1""",0,"1,000",,30/6/2026,3525,Tamworth,Vanarama National League North,1,51,89%,74.0,67.0,6.13,13.63,3.7,74.0,0.0,67.0,74.0,7.48,1.61,67.0,0.71,0.54,13.63,
90055831,Josh Granite,D (C),32,"6'0""",0,525,,30/6/2024,4220,Buxton,Vanarama National League North,1,48,77%,74.0,73.0,10.02,12.73,4.2,74.0,0.0,73.0,74.0,7.06,1.51,73.0,0.64,0.32,12.73,
2000139713,Narel Phillips,D (C),19,"6'0""",0,400,,30/6/2024,2280,Havant & W,Vanarama National League South,1,48,77%,74.0,59.0,5.41,11.53,2.8,74.0,0.0,59.0,74.0,4.38,1.03,59.0,0.67,0.51,11.53,
90083933,Morgan Williams,D (RC),24,"6'2""",0,"1,200",,30/6/2026,2220,Yeovil,Vanarama National League South,1,50,83%,73.0,84.0,8.35,13.09,5.15,73.0,0.0,84.0,73.0,5.15,2.11,84.0,1.7,0.45,13.09,
2000140692,Raphael Araoye,D (LC),19,"6'4""",0,525,,30/6/2025,3654,Havant & W,Vanarama National League South,1,48,86%,73.0,76.0,3.79,21.4,4.36,73.0,0.0,76.0,73.0,6.18,1.38,76.0,0.96,0.54,21.4,
28106284,Jalen Jones,D (C),25,"6'6""",0,180,,-,3240,Aveley,Vanarama National League South,1,44,82%,73.0,67.0,4.17,14.19,2.97,73.0,0.0,67.0,73.0,6.86,1.03,67.0,0.81,0.50,14.19,
29141826,Sam Bone,"D (RC), WB (R)",25,"6'5""",0,700,,30/6/2024,3108,Maidstone,Vanarama National League South,1,50,85%,73.0,78.0,12.28,16.71,4.11,73.0,0.0,78.0,73.0,4.63,2.08,78.0,2.03,0.75,16.71,
29233208,Kacper GruszczyÅski,D (L),20,"5'11""",0,250,,30/6/2024,3798,Warrington,Vanarama National League North,1,44,81%,73.0,83.0,13.77,15.55,4.81,73.0,0.0,83.0,73.0,5.45,2.18,83.0,2.56,1.02,15.55,
2000075967,Alex Touche,D (C),24,"6'4""",0,550,,30/6/2024,4039,Boston Utd,Vanarama National League North,1,58,89%,73.0,83.0,6.55,14.02,4.32,73.0,0.0,83.0,73.0,9.23,1.87,83.0,0.96,0.53,14.02,
29006267,Andrew Boyce,D (C),34,"6'4""",0,"1,200",,30/6/2024,2742,Scunthorpe,Vanarama National League North,1,64,87%,73.0,82.0,9.42,13.88,5.09,73.0,0.0,82.0,73.0,7.55,1.12,82.0,1.02,0.43,13.88,
28099015,Ben Pollock,"D (C), DM, M (C)",26,"6'1""",0,475,,30/6/2025,1202,Spennymoor,Vanarama National League North,1,46,79%,73.0,71.0,9.88,11.83,3.07,73.0,0.0,71.0,73.0,6.66,1.57,71.0,0.75,0.45,11.83,
28106570,Louis Hall,D/WB (L),25,"6'0""",0,180,,30/6/2024,3693,Banbury,Vanarama National League North,1,44,81%,73.0,74.0,13.89,14.67,4.92,73.0,0.0,74.0,73.0,5.31,2.34,74.0,2.0,0.97,14.67,
28110490,Scott Wilson,D (LC),24,"6'1""",0,400,,30/6/2024,4162,Chorley,Vanarama National League North,1,59,86%,73.0,91.0,9.51,13.1,5.1,73.0,0.0,91.0,73.0,4.71,2.18,91.0,1.86,0.76,13.1,
2000143990,Louis Hutchings,D (C),19,"6'1""",0,60,,30/6/2024,3855,Rushall,Vanarama National League North,1,50,81%,73.0,82.0,8.89,12.19,3.76,73.0,0.0,82.0,73.0,5.77,1.12,82.0,1.17,0.51,12.19,
2000144013,Zak Johnson,D (C),19,"6'2""",0,"1,200",,30/6/2026,3943,South Shields,Vanarama National League North,1,50,91%,73.0,83.0,7.24,14.56,8.08,73.0,0.0,83.0,73.0,5.93,2.05,83.0,0.91,0.66,14.56,
2000140700,Jamie Knight-Lebel,D (C),18,"6'2""",0,575,,30/6/2025,1809,Brackley,Vanarama National League North,1,45,83%,73.0,73.0,9.65,15.42,3.48,73.0,0.0,73.0,73.0,9.70,1.69,73.0,1.19,0.35,15.42,
29234385,Luis Fernandez,D (C),22,"6'1""",0,475,,30/6/2026,3629,Hampton & Richmond,Vanarama National League South,1,50,82%,73.0,86.0,4.69,16.84,3.62,73.0,0.0,86.0,73.0,6.30,1.61,86.0,1.04,0.37,16.84,
29193987,Keenan Ferguson,D (R),23,"6'0""",0,350,,30/6/2025,2236,Spennymoor,Vanarama National League North,1,46,83%,73.0,88.0,12.48,14.45,4.43,73.0,0.0,88.0,73.0,4.79,3.18,88.0,3.22,0.68,14.45,
