UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Hdr %,Hdrs  W/90,Tck R,Hdr %,Hdrs W/90,Int/90,Tck R,Tck/90,Blk/90,Poss Won/90,Pas %Poss Lost/90
29139318,Cameron James,"DM, M (C)",26,"6'0""",0,550,,30/6/2026,4191,Chelmsford,Vanarama National League South,1,56,85%,62.0,79.0,9.43,13.72,3.52,62.0,0.0,79.0,62.0,3.37,1.31,79.0,1.98,0.41,13.72,
29031124,Chris Atkinson,"DM, M (C)",32,"6'1""",0,275,,30/6/2025,4150,Farsley,Vanarama National League North,1,46,86%,62.0,79.0,9.24,9.48,3.95,62.0,0.0,79.0,62.0,3.14,1.43,79.0,1.67,0.76,9.48,
2000074547,Sebastian Dabrowski,D (L),18,"5'11""",0,750,,30/6/2025,1004,Bath City,Vanarama National League South,1,50,89%,62.0,81.0,13.09,16.4,5.38,62.0,0.0,81.0,62.0,4.03,2.51,81.0,2.69,0.81,16.4,
29187947,Tom Pugh,"DM, M (C)",23,"5'10""",0,850,,30/6/2026,1695,Scunthorpe,Vanarama National League North,1,64,89%,62.0,81.0,7.81,7.86,4.3,62.0,0.0,81.0,62.0,2.81,1.22,81.0,2.28,0.32,7.86,
2000057896,Harrison Burke,D (C),21,"6'2""",0,350,,30/6/2026,4414,Chester,Vanarama National League North,1,47,89%,61.0,69.0,6.48,12.42,5.1,61.0,0.0,69.0,61.0,5.99,1.65,69.0,0.88,0.27,12.42,
152985,Michael Bostwick,D (C),36,"6'4""",0,925,,30/6/2024,3465,Boston Utd,Vanarama National League North,1,58,85%,61.0,81.0,7.9,8.62,5.01,61.0,0.0,81.0,61.0,5.40,1.04,81.0,1.69,0.34,8.62,
2000219410,Sam Odaudu,D (L),21,"6'1""",0,300,,30/5/2025,3579,Dartford,Vanarama National League South,1,51,86%,61.0,82.0,13.2,11.67,4.9,61.0,0.0,82.0,61.0,4.25,2.14,82.0,2.24,0.65,11.67,
89044152,Shamir Mullings,ST (C),30,"6'5""",0,140,,30/6/2025,1095,Truro,Vanarama National League South,1,48,85%,61.0,96.0,22.85,2.63,1.48,61.0,0.0,96.0,61.0,4.85,1.48,96.0,1.89,0.41,2.63,
52001886,Michael Smith,D/WB (R),35,"5'11""",0,"1,700",,30/6/2025,3044,Yeovil,Vanarama National League South,1,50,84%,60.0,88.0,9.73,20.81,5.41,60.0,0.0,88.0,60.0,4.43,1.95,88.0,2.01,0.62,20.81,
2000107842,Harrison Clark,"D (C), DM",21,"6'0""",0,275,,30/6/2025,1490,Blyth,Vanarama National League North,1,64,90%,60.0,86.0,9.72,12.87,8.7,60.0,0.0,86.0,60.0,5.32,1.93,86.0,1.15,0.48,12.87,
5113684,John White,D (C),37,"6'0""",0,240,,30/6/2025,1693,Braintree,Vanarama National League South,1,50,87%,60.0,89.0,4.52,10.84,2.92,60.0,0.0,89.0,60.0,4.84,1.59,89.0,0.85,0.64,10.84,
5109673,Martin Woods,M (C),38,"5'9""",0,400,,30/6/2024,2678,Boston Utd,Vanarama National League North,1,58,84%,60.0,88.0,10.75,7.09,5.81,60.0,0.0,88.0,60.0,3.36,1.04,88.0,2.02,0.60,7.09,
28028945,Lee Hodson,D (R),32,"5'11""",0,825,,30/6/2025,2929,Eastleigh,Vanarama National League,1,54,86%,60.0,78.0,14.23,11.92,4.89,60.0,0.0,78.0,60.0,3.90,1.87,78.0,1.91,0.65,11.92,
20044986,Callum Ross,"DM, M (C)",29,"6'2""",0,475,,30/6/2024,3815,Spennymoor,Vanarama National League North,1,46,87%,60.0,74.0,6.7,8.78,3.68,60.0,0.0,74.0,60.0,2.95,0.99,74.0,2.08,0.28,8.78,
29233083,Andres De Gracia,"DM, M (C)",21,"5'11""",0,325,,30/6/2025,2523,Eastbourne Borough,Vanarama National League South,1,57,87%,60.0,74.0,8.74,11.77,5.21,60.0,0.0,74.0,60.0,2.53,1.57,74.0,1.39,0.39,11.77,
2000105676,Joshua Lett,D (L),19,"5'9""",0,575,,30/6/2025,3546,Weston-super-Mare,Vanarama National League South,1,50,85%,59.0,80.0,15.13,13.83,5.46,59.0,0.0,80.0,59.0,3.22,2.11,80.0,2.01,0.86,13.83,
29191776,Dylan Crowe,D/WB (R),23,"5'11""",0,475,,30/6/2024,2176,King's Lynn,Vanarama National League North,1,50,79%,59.0,79.0,15.97,14.06,4.26,59.0,0.0,79.0,59.0,4.01,2.36,79.0,2.4,0.37,14.06,
2000077960,Azeem Abdulai,"DM, M (C)",21,"6'1""",0,"1,900",,30/6/2025,4140,Yeovil,Vanarama National League South,1,50,89%,59.0,85.0,5.5,16.28,4.41,59.0,0.0,85.0,59.0,3.17,1.35,85.0,2.26,0.43,16.28,
28128056,Joe Oliver,D/WB (R),21,"6'0""",0,375,,30/6/2025,4139,Blyth,Vanarama National League North,1,64,85%,59.0,84.0,18.96,13.2,7.68,59.0,0.0,84.0,59.0,3.22,2.91,84.0,1.8,0.63,13.2,
2000146810,Owen Cochrane,D (R),19,"5'10""",0,400,,30/6/2024,3284,Bishop's Stortford,Vanarama National League North,1,50,84%,59.0,79.0,10.91,11.87,3.48,59.0,0.0,79.0,59.0,3.75,1.56,79.0,2.38,0.74,11.87,
2000059228,Leo Hamblin,D (LC),21,"6'0""",0,0,,-,2526,Weymouth,Vanarama National League South,1,50,82%,58.0,80.0,15.14,10.8,4.81,58.0,0.0,80.0,58.0,3.60,1.75,80.0,2.17,0.78,10.8,
29217427,Aaron Skinner,"D (RLC), WB (R), DM, M (C)",22,"5'9""",0,425,,30/6/2025,3869,Hereford,Vanarama National League North,1,50,82%,58.0,81.0,11.58,14.1,4.33,58.0,0.0,81.0,58.0,3.37,2.72,81.0,2.58,0.77,14.1,
29217526,Blaine Rowe,D/WB (R),22,"5'9""",0,725,,30/6/2024,3452,Darlington,Vanarama National League North,1,49,85%,58.0,84.0,15.83,12.07,4.9,58.0,0.0,84.0,58.0,3.44,2.92,84.0,2.5,0.63,12.07,
2000191712,Brandon Powell,D/WB (L),18,"5'11""",0,775,,30/6/2025,1170,Peterborough Sports,Vanarama National League North,1,47,82%,58.0,84.0,15.38,11.0,4.54,58.0,0.0,84.0,58.0,3.46,2.15,84.0,1.62,0.69,11.0,
94001969,Gareth Dean,D (C),34,"6'2""",0,700,,30/6/2024,4067,Brackley,Vanarama National League North,1,45,86%,57.0,80.0,8.08,10.87,4.32,57.0,0.0,80.0,57.0,4.76,1.13,80.0,1.46,0.69,10.87,
29191368,James Melhado,D/WB (R),23,"6'1""",0,425,,30/6/2025,3578,Truro,Vanarama National League South,1,48,84%,57.0,76.0,14.82,10.54,4.75,57.0,0.0,76.0,57.0,3.09,2.16,76.0,2.19,0.60,10.54,
89068522,Jack Tompkins,D (R),22,"5'8""",0,170,,30/6/2025,3916,Banbury,Vanarama National League North,1,44,84%,57.0,84.0,12.59,12.32,3.4,57.0,0.0,84.0,57.0,3.98,2.55,84.0,2.18,0.67,12.32,
28102600,Joel Taylor,D (L),28,"5'11""",0,400,,30/6/2024,3721,Chester,Vanarama National League North,1,47,82%,57.0,83.0,14.8,13.96,5.9,57.0,0.0,83.0,57.0,3.17,2.06,83.0,2.61,0.34,13.96,
2000108275,Connor Pye,D (L),19,"5'6""",0,525,,30/6/2025,1916,Torquay,Vanarama National League South,1,52,85%,57.0,88.0,10.38,17.05,6.15,57.0,0.0,88.0,57.0,3.19,1.88,88.0,2.87,0.80,17.05,
2000201092,Evan Humphries,D (L),18,"5'8""",0,900,,30/6/2025,1669,Weymouth,Vanarama National League South,1,50,85%,57.0,75.0,13.64,13.0,5.82,57.0,0.0,75.0,57.0,3.45,2.05,75.0,2.26,0.75,13.0,
29194976,Harry Perritt,D (R),23,"6'1""",0,425,,30/6/2025,3927,Alfreton,Vanarama National League North,1,51,80%,56.0,79.0,13.13,14.44,4.7,56.0,0.0,79.0,56.0,3.92,2.61,79.0,2.15,0.69,14.44,
29235372,Ethan Sephton,D (L),24,"5'11""",0,300,,30/6/2025,1960,Gloucester,Vanarama National League North,1,47,86%,56.0,84.0,12.03,12.72,5.74,56.0,0.0,84.0,56.0,3.26,2.20,84.0,2.85,1.19,12.72,
52032604,Jimmy Keohane,"D/WB (RL), DM",33,"5'11""",0,925,,30/6/2024,1836,Rochdale,Vanarama National League,1,50,86%,56.0,84.0,10.05,12.55,4.66,56.0,0.0,84.0,56.0,2.35,1.42,84.0,2.4,0.34,12.55,
31037585,Joel Colbran,D (R),25,"6'1""",0,0,,-,2351,Worthing,Vanarama National League South,1,50,84%,56.0,72.0,10.64,15.89,5.17,56.0,0.0,72.0,56.0,3.60,1.72,72.0,1.57,0.73,15.89,
8611502,James Curtis,D (C),42,"6'7""",0,350,,30/6/2024,1965,Spennymoor,Vanarama National League North,1,46,80%,93.0,75.0,9.39,13.33,3.44,93.0,0.0,75.0,93.0,7.92,0.69,75.0,0.96,0.27,13.33,
2000191835,Lucien Mahovo,D (C),18,"6'2""",0,350,,30/6/2025,3741,Alfreton,Vanarama National League North,1,51,79%,89.0,78.0,9.74,15.61,2.69,89.0,0.0,78.0,89.0,9.26,1.20,78.0,1.03,0.58,15.61,
29128330,Marcus Poscha,D (C),27,"5'11""",0,230,,30/6/2024,3144,Curzon Ashton,Vanarama National League North,1,46,76%,88.0,79.0,12.22,13.63,3.89,88.0,0.0,79.0,88.0,8.19,1.46,79.0,1.32,0.54,13.63,
28127061,Ludwig Francillette,D (C),25,"6'4""",0,"1,100",,30/6/2024,1103,Eastleigh,Vanarama National League,1,54,83%,87.0,92.0,4.73,10.44,3.26,87.0,0.0,92.0,87.0,8.08,1.39,92.0,0.9,0.33,10.44,
89007828,Tom Broadbent,D (C),32,"6'3""",0,925,,30/6/2024,1934,South Shields,Vanarama National League North,1,50,82%,85.0,84.0,10.84,14.33,6.33,85.0,0.0,84.0,85.0,7.59,1.72,84.0,0.74,0.74,14.33,
2000124630,Charlie Hickingbottom,D (C),19,"6'2""",0,475,,30/6/2025,2662,Farsley,Vanarama National League North,1,46,81%,84.0,79.0,9.23,13.59,4.77,84.0,0.0,79.0,84.0,8.18,1.49,79.0,1.01,0.37,13.59,
29037157,Joe McNerney,D (C),34,"6'3""",0,650,,31/5/2025,2191,Havant & W,Vanarama National League South,1,48,78%,83.0,80.0,4.72,14.87,3.82,83.0,0.0,80.0,83.0,8.01,1.27,80.0,1.15,0.53,14.87,
2000044538,Lebrun Mbeka,"D (C), DM",27,"6'6""",0,350,,30/6/2024,3587,Spennymoor,Vanarama National League North,1,46,85%,83.0,78.0,8.53,13.07,3.71,83.0,0.0,78.0,83.0,6.57,1.73,78.0,1.68,0.23,13.07,
29189397,Max Ram,D (RC),23,"6'3""",0,350,,30/6/2024,3971,Gloucester,Vanarama National League North,1,47,86%,82.0,83.0,11.67,16.34,5.1,82.0,0.0,83.0,82.0,7.75,2.40,83.0,2.9,0.75,16.34,
2000139665,Olly Evans,D (LC),19,"6'1""",0,400,,30/6/2024,3191,Bishop's Stortford,Vanarama National League North,1,50,82%,82.0,79.0,10.86,14.3,3.89,82.0,0.0,79.0,82.0,6.43,2.09,79.0,3.13,0.79,14.3,
28100544,Reiss Greenidge,D (C),27,"6'6""",0,650,,30/6/2024,2587,Maidstone,Vanarama National League South,1,50,79%,82.0,71.0,4.77,12.73,4.28,82.0,0.0,71.0,82.0,7.24,1.81,71.0,0.87,0.52,12.73,
90092803,Devon Matthews,D (C),24,"6'3""",0,250,,30/6/2025,3251,Curzon Ashton,Vanarama National League North,1,46,77%,82.0,67.0,11.77,14.62,4.24,82.0,0.0,67.0,82.0,8.47,1.66,67.0,1.05,0.72,14.62,
52100897,Sean Callan,D (C),24,"6'2""",0,325,,30/6/2025,1564,Weston-super-Mare,Vanarama National League South,1,50,87%,81.0,65.0,5.47,14.56,4.43,81.0,0.0,65.0,81.0,6.45,1.67,65.0,0.86,0.40,14.56,
90043947,Jake Lawlor,D (C),33,"6'4""",0,525,,30/6/2024,3636,Darlington,Vanarama National League North,1,49,82%,81.0,84.0,9.6,14.18,4.21,81.0,0.0,84.0,81.0,8.96,1.36,84.0,1.21,0.42,14.18,
29188482,Kevin Berkoe,D/WB/M (L),23,"5'11""",0,325,,30/11/2027,"1,168",Longford,Irish First Division,2,50,86%,63.0,85.0,13.18,14.26,5.78,63.0,0.0,85.0,63.0,3.85,1.54,85.0,3.16,0.85,14.26,
29072743,Zak Mills,D/WB (R),32,"6'0""",0,500,,30/6/2027,"2,009",South Shields,Vanarama National League,2,50,86%,71.0,83.0,13.53,11.33,4.66,71.0,0.0,83.0,71.0,5.15,2.20,83.0,1.70,0.63,11.33,
29233083,Andres De Gracia,"DM, M (C)",22,"5'11""",0,600,Balanced,30/6/2027,"2,997",Eastbourne Borough,Vanarama National League South,2,50,89%,64.0,79.0,8.08,12.58,4.95,64.0,0.0,79.0,64.0,2.73,0.99,79.0,1.77,0.24,12.58,
29157526,Ben Hedley,D/WB (RL),26,"5'10""",0,575,Balanced,30/6/2026,"3,780",Radcliffe,English Northern Premier League Premier Division,2,49,85%,72.0,81.0,12.12,11.57,5.17,72.0,0.0,81.0,72.0,4.50,2.12,81.0,1.86,0.40,11.57,
29243919,Sam Dreyer,D (C),22,"6'3""",0,375,,30/6/2026,"3,989",Salisbury,Vanarama National League South,2,50,85%,77.0,82.0,4.35,16.58,3.09,77.0,0.0,82.0,77.0,6.11,1.31,82.0,0.95,0.59,16.58,
89070937,George Sheridan,"D (C), DM, M (C)",22,"6'0""",0,55,Balanced,30/6/2026,"3,223",Oxford City,Vanarama National League North,2,46,88%,56.0,72.0,9.13,10.47,3.8,56.0,0.0,72.0,56.0,2.90,1.42,72.0,2.21,0.59,10.47,
2000027046,Mathew Mallon,D (R),21,"6'3""",0,625,,30/6/2026,"3,910",Chester,Vanarama National League North,2,50,79%,87.0,86.0,15.84,18.55,4.1,87.0,0.0,86.0,87.0,9.00,2.79,86.0,2.23,0.55,18.55,
29139894,Connor Johnson,D (C),27,"6'1""",0,325,Balanced,30/6/2026,"3,246",Haverfordwest,JD Cymru Premier,2,50,85%,66.0,69.0,3.13,19.27,3.41,66.0,0.0,69.0,66.0,4.96,1.33,69.0,0.75,0.55,19.27,
28126250,Kwaku Oduroh,WB (R),22,"6'0""",0,700,,30/6/2026,"1,067",Sutton,Sky Bet League Two,2,50,87%,63.0,90.0,17.21,9.78,4.13,63.0,0.0,90.0,63.0,3.37,2.02,90.0,2.28,0.76,9.78,
28127268,Eddie Jackson,D (R),22,"5'9""",0,170,Determined,30/6/2026,"2,381",Connah's Quay,JD Cymru Premier,2,50,82%,70.0,71.0,11.83,11.49,4.57,70.0,0.0,71.0,70.0,4.61,2.31,71.0,1.36,0.45,11.49,
2000091553,CJ Clarke,"D (R), DM, M (C)",22,"5'10""",0,500,Balanced,30/6/2026,"2,072",South Shields,Vanarama National League,2,50,88%,62.0,77.0,11.86,9.03,3.95,62.0,0.0,77.0,62.0,1.87,1.26,77.0,1.91,0.17,9.03,
2000048045,Ryan Bartley,D (C),21,"5'11""",0,925,,30/6/2026,"1,234",Forest Green,Sky Bet League Two,2,50,82%,75.0,74.0,8.17,6.42,3.72,75.0,0.0,74.0,75.0,5.18,1.31,74.0,1.02,0.80,6.42,
29128545,Kyron Farrell,D/WB/M (L),27,"5'11""",0,300,Balanced,30/6/2026,"4,350",Bath City,Vanarama National League South,2,50,85%,70.0,74.0,13.14,13.1,5.83,70.0,0.0,74.0,70.0,4.41,2.23,74.0,2.40,0.64,13.1,
2000110565,Dan Myers,D (LC),23,"6'1""",0,240,Balanced,30/6/2026,"2,501",Spennymoor,Vanarama National League North,2,44,85%,74.0,80.0,10.47,14.14,4.61,74.0,0.0,80.0,74.0,6.77,1.40,80.0,2.38,0.72,14.14,
2000117449,Harry Scarborough,"AM (R), ST (C)",22,"6'3""",0,325,Balanced,30/6/2026,"1,165",Boston Utd,Vanarama National League North,2,50,85%,67.0,75.0,10.12,4.94,1.16,67.0,0.0,75.0,67.0,7.18,0.70,75.0,0.93,-,4.94,
28124744,Cardo Siddik,D (C),22,"6'3""",0,600,Balanced,30/6/2025,"3,587",Darlington,Vanarama National League North,2,48,84%,85.0,73.0,9.66,14.38,4.89,85.0,0.0,73.0,85.0,8.23,1.43,73.0,1.33,0.63,14.38,
29219537,Brad Nicholson,"D (LC), WB (L)",26,"6'2""",0,325,Balanced,30/6/2025,"3,576",Boston Utd,Vanarama National League North,2,50,84%,62.0,78.0,13.69,10.17,4.58,62.0,0.0,78.0,62.0,3.35,1.76,78.0,2.09,0.45,10.17,
2000130212,Jayden Barber,D/WB (R),19,"6'3""",0,475,Fairly Determined,30/6/2025,"1,912",Worthing,Vanarama National League,2,50,85%,64.0,80.0,15.96,12.43,5.7,64.0,0.0,80.0,64.0,4.10,1.98,80.0,2.21,0.19,12.43,
2000207269,Harvey Fletcher,"DM, M (C), AM (R)",18,"5'3""",0,275,Balanced,30/6/2025,"1,657",Hyde,English Northern Premier League Premier Division,2,50,72%,75.0,74.0,0.33,0.6,0.33,75.0,0.0,74.0,75.0,0.33,0.16,74.0,2.17,-,0.6,
2000055713,Michael Stone,M (C),20,"5'9""",0,475,,30/6/2025,"3,150",Mickleover,English Isthmian League North Division,2,50,72%,63.0,75.0,0.11,0.31,0.2,63.0,0.0,75.0,63.0,0.14,0.06,75.0,1.97,-,0.31,
29160404,Sam Fielding,"D (RC), DM, M (C)",26,"6'2""",0,275,Balanced,30/6/2025,"2,535",Spennymoor,Vanarama National League North,2,44,88%,57.0,71.0,8.17,9.73,5.11,57.0,0.0,71.0,57.0,2.45,1.38,71.0,1.85,0.50,9.73,
2000135239,Edward Gyamfi,"D (R), DM, M (C)",21,"5'10""",0,325,Balanced,30/6/2025,"3,838",Tamworth,Vanarama National League North,2,53,87%,62.0,73.0,6.64,8.82,3.05,62.0,0.0,73.0,62.0,2.16,1.27,73.0,1.45,0.35,8.82,
28099015,Ben Pollock,"D (C), DM, M (C)",27,"6'1""",0,475,Balanced,30/6/2025,"3,237",Spennymoor,Vanarama National League North,2,44,79%,71.0,80.0,9.87,12.85,3.53,71.0,0.0,80.0,71.0,6.34,0.97,80.0,0.89,0.36,12.85,
2002083560,Yusuf Ulusoy,D (L),25,"5'10""",0,300,Light-Hearted,30/6/2025,"1,438",Leamington,Vanarama National League North,2,52,82%,62.0,82.0,11.33,14.65,4.69,62.0,0.0,82.0,62.0,4.76,2.07,82.0,2.88,1.13,14.65,
29226266,Luca Murphy,D (C),23,"6'4""",0,475,Balanced,30/6/2025,"2,031",Blyth,Vanarama National League North,2,69,90%,84.0,68.0,8.11,12.94,6.51,84.0,0.0,68.0,84.0,7.71,0.97,68.0,0.58,0.80,12.94,
2000042595,Jack Leckie,D (C),21,"6'6""",0,0,,-,"2,433",Warrington,Vanarama National League North,2,47,73%,64.0,74.0,11.28,13.76,3.33,64.0,0.0,74.0,64.0,5.59,1.29,74.0,1.37,0.81,13.76,
2000052149,Harvey Sutcliffe,D (R),21,"5'9""",0,0,,-,"2,006",Penybont,JD Cymru Premier,2,50,85%,61.0,91.0,14.18,11.93,5.7,61.0,0.0,91.0,61.0,3.77,1.48,91.0,2.29,0.58,11.93,
89061032,Jordan Cullinane-Liburd,D (C),29,"6'3""",0,0,,-,"3,501",Tamworth,Vanarama National League North,2,53,81%,83.0,71.0,14.32,15.5,4.22,83.0,0.0,71.0,83.0,8.71,1.47,71.0,1.05,0.46,15.5,
2000207729,Harvey Warren,D (RC),21,"6'1""",0,0,Balanced,-,"1,134",Leamington,Vanarama National League North,2,52,83%,71.0,72.0,9.92,14.37,3.17,71.0,0.0,72.0,71.0,6.51,1.83,72.0,1.03,0.32,14.37,
28048010,Matt Dolan,"D (C), DM",32,"5'9""",0,325,,30/6/2025,"3,273",Scarborough Athletic,Vanarama National League,2,50,86%,63.0,73.0,3.74,15.73,4.12,63.0,0.0,73.0,63.0,4.65,1.18,73.0,0.99,0.41,15.73,
